Sample	R1	R2	plate	location	name	group	genotype	sex
MB032-C08	/mnt/data/sbusi/vip/data/fastq/MB032_C08_S32_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB032_C08_S32_R2_001.fastq.gz	180817_MB	C08	MB032	VPAC1	HET	Male
MB032-D9	/mnt/data/sbusi/vip/data/fastq/MB032_D9_S45_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB032_D9_S45_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	D9	MB032	VIP	WT	Female
MB033-C09	/mnt/data/sbusi/vip/data/fastq/MB033_C09_S33_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB033_C09_S33_R2_001.fastq.gz	180817_MB	C09	MB033	VPAC1	KO	Male
MB033-D10	/mnt/data/sbusi/vip/data/fastq/MB033_D10_S46_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB033_D10_S46_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	D10	MB033	VIP	HET	Female
MB034-C10	/mnt/data/sbusi/vip/data/fastq/MB034_C10_S34_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB034_C10_S34_R2_001.fastq.gz	180817_MB	C10	MB034	VPAC1	KO	Male
MB034-D11	/mnt/data/sbusi/vip/data/fastq/MB034_D11_S47_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB034_D11_S47_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	D11	MB034	VIP	HET	Female
MB035-C11	/mnt/data/sbusi/vip/data/fastq/MB035_C11_S35_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB035_C11_S35_R2_001.fastq.gz	180817_MB	C11	MB035	VPAC1	KO	Male
MB035-D12	/mnt/data/sbusi/vip/data/fastq/MB035_D12_S48_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB035_D12_S48_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	D12	MB035	VIP	HET	Female
MB036-C12	/mnt/data/sbusi/vip/data/fastq/MB036_C12_S36_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB036_C12_S36_R2_001.fastq.gz	180817_MB	C12	MB036	VPAC1	KO	Male
MB036-E1	/mnt/data/sbusi/vip/data/fastq/MB036_E1_S49_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB036_E1_S49_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E1	MB036	VIP	HET	Female
MB037-D01	/mnt/data/sbusi/vip/data/fastq/MB037_D01_S37_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB037_D01_S37_R2_001.fastq.gz	180817_MB	D01	MB037	VPAC1	KO	Male
MB037-E2	/mnt/data/sbusi/vip/data/fastq/MB037_E2_S50_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB037_E2_S50_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E2	MB037	VIP	HET	Female
MB038-D02	/mnt/data/sbusi/vip/data/fastq/MB038_D02_S38_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB038_D02_S38_R2_001.fastq.gz	180817_MB	D02	MB038	VPAC1	KO	Male
MB038-E3	/mnt/data/sbusi/vip/data/fastq/MB038_E3_S51_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB038_E3_S51_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E3	MB038	VIP	HET	Female
MB039-D03	/mnt/data/sbusi/vip/data/fastq/MB039_D03_S39_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB039_D03_S39_R2_001.fastq.gz	180817_MB	D03	MB039	VPAC1	KO	Male
MB039-E4	/mnt/data/sbusi/vip/data/fastq/MB039_E4_S52_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB039_E4_S52_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E4	MB039	VIP	HET	Female
MB040-D04	/mnt/data/sbusi/vip/data/fastq/MB040_D04_S40_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB040_D04_S40_R2_001.fastq.gz	180817_MB	D04	MB040	VPAC1	KO	Male
MB040-E5	/mnt/data/sbusi/vip/data/fastq/MB040_E5_S53_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB040_E5_S53_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E5	MB040	VIP	HET	Female
MB041-D05	/mnt/data/sbusi/vip/data/fastq/MB041_D05_S41_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB041_D05_S41_R2_001.fastq.gz	180817_MB	D05	MB041	VPAC1	WT	Female
MB041-E6	/mnt/data/sbusi/vip/data/fastq/MB041_E6_S54_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB041_E6_S54_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E6	MB041	VIP	KO	Female
MB042-D06	/mnt/data/sbusi/vip/data/fastq/MB042_D06_S42_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB042_D06_S42_R2_001.fastq.gz	180817_MB	D06	MB042	VPAC1	WT	Female
MB042-E7	/mnt/data/sbusi/vip/data/fastq/MB042_E7_S55_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB042_E7_S55_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E7	MB042	VIP	KO	Female
MB043-D07	/mnt/data/sbusi/vip/data/fastq/MB043_D07_S43_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB043_D07_S43_R2_001.fastq.gz	180817_MB	D07	MB043	VPAC1	WT	Female
MB043-E8	/mnt/data/sbusi/vip/data/fastq/MB043_E8_S56_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB043_E8_S56_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E8	MB043	VIP	KO	Female
MB044-D08	/mnt/data/sbusi/vip/data/fastq/MB044_D08_S44_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB044_D08_S44_R2_001.fastq.gz	180817_MB	D08	MB044	VPAC1	WT	Female
MB044-E9	/mnt/data/sbusi/vip/data/fastq/MB044_E9_S57_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB044_E9_S57_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E9	MB044	VIP	KO	Female
MB045-D09	/mnt/data/sbusi/vip/data/fastq/MB045_D09_S45_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB045_D09_S45_R2_001.fastq.gz	180817_MB	D09	MB045	VPAC1	WT	Female
MB045-E10	/mnt/data/sbusi/vip/data/fastq/MB045_E10_S58_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB045_E10_S58_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E10	MB045	VIP	KO	Female
MB046-D10	/mnt/data/sbusi/vip/data/fastq/MB046_D10_S46_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB046_D10_S46_R2_001.fastq.gz	180817_MB	D10	MB046	VPAC1	WT	Female
MB046-E11	/mnt/data/sbusi/vip/data/fastq/MB046_E11_S59_L001_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB046_E11_S59_L001_R2_001.fastq.gz	171222_RG_MB_CQ_AE_M	E11	MB046	VIP	KO	Female
MB047-D11	/mnt/data/sbusi/vip/data/fastq/MB047_D11_S47_R1_001.fastq.gz	/mnt/data/sbusi/vip/data/fastq/MB047_D11_S47_R2_001.fastq.gz	180817_MB	D11	MB047	VPAC1	WT	Female
